ligne;marche;bdc;facture;plafond;montant_ttc;restant
6;2020_14G3P;21AA01430;;4175726.0;882.6;4174843.4
7;2020_14G3P;21AA01640;;4175726.0;2316.0;4172527.4
8;2020_14G3P;21AA01640;;4175726.0;1461.6;4171065.8
9;2020_14G3P;21AA03063;;4175726.0;622.3;4170443.5
10;2020_14G3P;22AA00373;F2200973;4175726.0;24090.0;4146353.5
11;2020_14G3P;22AA01789;;4175726.0;2779.2;4143574.3
12;2020_14G3P;22AA01789;F2401609;4175726.0;2779.2;4140795.0999999996
13;2020_14G3P;22AA02376;;4175726.0;8421.96;4132373.1399999997
14;2020_14G3P;22AA02376;;4175726.0;6198.0;4126175.1399999997
15;2020_14G3P;22AA02376;F2400578;4175726.0;8421.96;4117753.1799999997
16;2020_14G3P;22AA03211;;4175726.0;7735.44;4110017.7399999998
17;2020_14G3P;22AA03211;;4175726.0;9317.08;4100700.6599999997
18;2020_14G3P;22AA03211;F2404329;4175726.0;9509.08;4091191.5799999996
19;2020_14G3P;22AA03211;F2404329;4175726.0;7735.44;4083456.1399999997
20;2020_14G3P;22AA03536;;4175726.0;83323.2;4000132.9399999995
21;2020_14G3P;22AA03536;F2302126;4175726.0;34638.0;3965494.9399999995
22;2020_14G3P;22AA03536;F2302126;4175726.0;47798.4;3917696.5399999996
23;2020_14G3P;22AA03536;F2304108;4175726.0;886.8;3916809.7399999998
24;2020_14G3P;22AA04286;;4175726.0;14215.44;3902594.3
25;2020_14G3P;22AA04286;F2300326;4175726.0;14215.44;3888378.86
26;2020_14G3P;22AA04317;F2302308;4175726.0;96507.6;3791871.26
27;2020_14G3P;23AA00373;F2300382;4175726.0;29488.98;3762382.28
28;2020_14G3P;23AA00670;;4175726.0;2273.28;3760109.0
29;2020_14G3P;23AA00670;F2401609;4175726.0;2273.28;3757835.72
30;2020_14G3P;23AA01414;F2303378;4175726.0;34017.96;3723817.7600000002
31;2020_14G3P;23AA01720;;4175726.0;2100.36;3721717.4000000004
32;2020_14G3P;23AA01720;F2404329;4175726.0;2100.36;3719617.0400000005
33;2020_14G3P;23AA01991;F2302417;4175726.0;73785.96;3645831.0800000005
34;2020_14G3P;23AA01991;F2304108;4175726.0;36089.64;3609741.4400000004
35;2020_14G3P;23AA02510;F2303878;4175726.0;8870.4;3600871.0400000005
36;2020_14G3P;23AA02965;;4175726.0;1477.2;3599393.8400000003
37;2020_14G3P;23AA02965;F2400952;4175726.0;1477.2;3597916.64
38;2020_14G3P;23AA03103;;4175726.0;7315.2;3590601.44
39;2020_14G3P;23AA03103;;4175726.0;7315.2;3583286.2399999998
40;2020_14G3P;23AA03103;F2303878;4175726.0;1140.0;3582146.2399999998
41;2020_14G3P;23AA03183;F2304435;4175726.0;7610.95;3574535.2899999996
42;2020_14G3P;23AA03184;F2304435;4175726.0;25200.0;3549335.2899999996
43;2020_14G3P;23AA03185;F2304435;4175726.0;16357.13;3532978.1599999997
44;2020_14G3P;23AA03486;F2304435;4175726.0;89945.04;3443033.1199999996
45;2020_14G3P;23AA03498;F2304435;4175726.0;21445.2;3421587.9199999995
46;2020_14G3P;23AA03536;F2303879;4175726.0;9084.24;3412503.6799999992
47;2020_14G3P;23AA03617;;4175726.0;9084.91;3403418.769999999
48;2020_14G3P;23AA03617;F2400578;4175726.0;9084.91;3394333.859999999
49;2020_14G3P;23AA03721;F2304435;4175726.0;5112.0;3389221.859999999
50;2020_14G3P;23AA03891;;4175726.0;13545.96;3375675.899999999
51;2020_14G3P;23AA03891;F2400385;4175726.0;13545.96;3362129.939999999
52;2020_14G3P;24AA00303;F2400581;4175726.0;65293.14;3296836.799999999
53;2020_14G3P;24AA00677;F2402657;4175726.0;14404.8;3282431.999999999
54;2020_14G3P;24AA00679;;4175726.0;11556.0;3270875.999999999
55;2020_14G3P;24AA00679;F2500575;4175726.0;11556.0;3259319.999999999
56;2020_14G3P;24AA00681;F2402657;4175726.0;14643.6;3244676.399999999
57;2020_14G3P;24AA00807;F2402657;4175726.0;2572.8;3242103.599999999
58;2020_14G3P;24AA01503;;4175726.0;25191.6;3216911.999999999
59;2020_14G3P;24AA01503;F2500575;4175726.0;25191.6;3191720.399999999
60;2020_14G3P;24AA01830;F2403875;4175726.0;12660.24;3179060.1599999988
61;2020_14G3P;24AA01848;F2403894;4175726.0;234.0;3178826.1599999988
62;2020_14G3P;24AA01848;F2403894;4175726.0;5800.8;3173025.359999999
63;2020_14G3P;24AA02052;;4175726.0;823.92;3172201.439999999
64;2020_14G3P;24AA02052;F2403151;4175726.0;8239.2;3163962.239999999
65;2020_14G3P;24AA02052;F2404329;4175726.0;7415.28;3156546.959999999
66;2020_14G3P;24AA02259;;4175726.0;5378.08;3151168.879999999
67;2020_14G3P;24AA02259;F2403152;4175726.0;53780.82;3097388.059999999
68;2020_14G3P;24AA02259;F2404329;4175726.0;48402.74;3048985.319999999
69;2020_14G3P;24AA02259;F2500249;4175726.0;5378.08;3043607.239999999
70;2020_14G3P;24AA02296;F2402657;4175726.0;240.0;3043367.239999999
71;2020_14G3P;24AA02452;F2403876;4175726.0;2164.8;3041202.439999999
72;2020_14G3P;24AA03425;;4175726.0;734.4;3040468.039999999
73;2020_14G3P;24AA03425;F2500575;4175726.0;734.4;3039733.639999999
74;2020_14G3P;24AA03710;;4175726.0;8409.8;3031323.8399999994
75;2020_14G3P;24AA03710;F2500575;4175726.0;8409.8;3022914.0399999996
76;2020_14G3P;24AA03984;F2404769;4175726.0;76282.56;2946631.4799999995
77;2020_14G3P;25AA00237;;4175726.0;18478.8;2928152.6799999997
78;2020_14G3P;25AA00237;F2500947;4175726.0;4479.6;2923673.0799999996
79;2020_14G3P;25AA00237;F2500947;4175726.0;13759.2;2909913.8799999994
80;2020_14G3P;25AA00258;F2500249;4175726.0;823.92;2909089.9599999995
81;2020_14G3P;25AA00614;;4175726.0;2100.87;2906989.0899999994
82;2020_14G3P;25AA00614;F2500583;4175726.0;5000.0;2901989.0899999994
83;2020_14G3P;25AA00614;F2500584;4175726.0;5000.0;2896989.0899999994
84;2020_14G3P;25AA00614;F2500941;4175726.0;5000.0;2891989.0899999994
85;2020_14G3P;25AA00614;F2501494;4175726.0;5000.0;2886989.0899999994
86;2020_14G3P;25AA00614;F2501499;4175726.0;2899.13;2884089.9599999995
87;2020_14G3P;25AA00614;F2501813;4175726.0;5000.0;2879089.9599999995
88;2020_14G3P;25AA00614;F2502266;4175726.0;5000.0;2874089.9599999995
89;2020_14G3P;25AA00614;F2502800;4175726.0;5000.0;2869089.9599999995
90;2020_14G3P;25AA00614;F2503115;4175726.0;5000.0;2864089.9599999995
91;2020_14G3P;25AA00614;F2503621;4175726.0;5000.0;2859089.9599999995
92;2020_14G3P;25AA00614;F2504135;4175726.0;5000.0;2854089.9599999995
93;2020_14G3P;25AA00614;F2504609;4175726.0;5000.0;2849089.9599999995
94;2020_14G3P;25AA00841;F2501814;4175726.0;8760.0;2840329.9599999995
95;2020_14G3P;25AA00913;F2500947;4175726.0;18971.4;2821358.5599999996
96;2020_14G3P;25AA00914;;4175726.0;1053.38;2820305.1799999997
97;2020_14G3P;25AA00914;;4175726.0;247.64;2820057.5399999996
98;2020_14G3P;25AA00914;F2501490;4175726.0;1435.26;2818622.28
99;2020_14G3P;25AA00914;F2501490;4175726.0;3576.0;2815046.28
100;2020_14G3P;25AA00914;F2501490;4175726.0;8245.14;2806801.1399999997
101;2020_14G3P;25AA00914;F2502292;4175726.0;3576.0;2803225.1399999997
102;2020_14G3P;25AA01214;F2502803;4175726.0;16690.45;2786534.6899999995
103;2020_14G3P;25AA01215;F2502803;4175726.0;18644.98;2767889.7099999995
104;2020_14G3P;25AA01650;F2501814;4175726.0;2572.8;2765316.9099999997
105;2020_14G3P;25AA01665;F2501673;4175726.0;42000.84;2723316.07
106;2020_14G3P;25AA01776;F2503328;4175726.0;23787.96;2699528.11
107;2020_14G3P;25AA01937;F2502802;4175726.0;526.8;2699001.31
108;2020_14G3P;25AA01945;F2502292;4175726.0;2005.2;2696996.11
109;2020_14G3P;25AA02064;;4175726.0;487.44;2696508.67
110;2020_14G3P;25AA02064;F2504038;4175726.0;2816.4;2693692.27
111;2020_14G3P;25AA02233;;4175726.0;2020.13;2691672.14
112;2020_14G3P;25AA02234;F2504613;4175726.0;2106.0;2689566.14
113;2020_14G3P;25AA02238;F2502802;4175726.0;25555.2;2664010.94
114;2020_14G3P;25AA02248;F2502802;4175726.0;48040.74;2615970.1999999997
115;2020_14G3P;25AA02306;;4175726.0;10243.2;2605726.9999999995
116;2020_14G3P;25AA02306;;4175726.0;10243.2;2595483.7999999993
117;2020_14G3P;25AA02351;;4175726.0;13209.0;2582274.7999999993
118;2020_14G3P;25AA02351;;4175726.0;13209.0;2569065.7999999993
119;2020_14G3P;25AA02351;F2504633;4175726.0;32839.2;2536226.599999999
120;2020_14G3P;25AA02403;F2504632;4175726.0;6417.6;2529808.999999999
121;2020_14G3P;25AA02577;F2502803;4175726.0;1256.4;2528552.599999999
122;2020_14G3P;25AA02626;;4175726.0;4176.0;2524376.599999999
